"Student.Id","exam","Session.1","Session.2","Session.3","Session.4","Session.5","Session.6","Assignment_1","Assignment_2","Assignment_3","Assignment_4","Assignment_5"
3,85,0,1,1,1,1,0,3.5,3.5,4.5,4,0
6,82,0,1,1,1,1,1,5.5,3.5,4.5,3,3
7,52.5,1,1,1,1,1,1,4,4,4.5,4,2
10,59,1,1,1,1,1,1,5,4,4.5,4,3
13,90,0,0,0,1,1,1,0,0,5,4,3
15,67.5,1,1,1,1,1,1,2,4,5,4,2
16,67,0,1,1,1,1,1,3,2.5,5,4,2
17,97,1,1,1,1,1,1,3.5,3.5,5,4,4
18,62,0,1,1,1,1,1,5,4,4.5,4,3
20,58.5,1,1,1,1,1,1,3,3,4.5,3.5,2
24,32.5,0,1,1,1,1,1,2.5,2,4.5,3.5,3
27,74.5,0,1,1,1,1,1,0,3,4.5,4,1.75
28,79.5,1,1,1,1,1,1,6,4,5,4,3
29,97,0,1,1,1,1,1,4,3,5,4,3.75
30,7,1,1,1,1,1,1,3,2,4.5,4,2.75
32,75.5,1,1,1,1,1,1,5.5,4,5,4,3.5
36,79,1,1,1,1,1,1,5.5,4,5,4,2.75
37,19,1,0,0,1,1,1,0,0,4.5,3.5,3
39,41,1,1,1,1,1,1,3,1,4.5,3.5,2.5
41,98,0,1,1,1,1,1,5.5,4,5,4,3.25
44,50,1,1,1,1,1,1,5.5,4,4.5,4,3
46,12,1,1,0,1,0,1,2,0.5,4,4,1
48,71.5,0,1,1,1,1,1,3.5,2.5,4.5,4,2.5
51,8.5,1,1,1,1,1,1,1,1,4,4,0.5
53,70.5,1,1,1,1,1,1,4,3,4.5,3.5,3
56,71.5,1,1,1,1,1,1,2.5,3,4.5,3,3
59,40,1,1,1,1,1,1,3.5,2,4,3.5,2
62,22,1,0,1,1,0,0,0,0,4,0,0
63,69,1,1,0,1,1,1,3.5,1.5,5,3.5,1
66,86,1,1,1,1,1,1,0,2,4.5,3,2.25
67,80.5,1,1,1,1,1,1,5.5,4,4.5,4,2.75
68,62.5,1,0,1,1,1,1,5.5,3.5,5,4,3
72,95,0,1,1,1,1,1,4.5,3,4,3.5,2.75
73,28.5,1,1,1,1,0,1,4.5,3,4,0,2
74,18,1,1,1,1,1,1,3,1.5,5,4,1.75
76,93.5,1,1,1,1,1,1,4,4,4,4,2
78,78,1,1,1,1,1,1,2.5,3,5,4,2.75
81,87,1,1,1,1,1,1,5,4,5,4,2.75
83,35.5,0,1,1,1,1,1,4,2.5,4.5,4,2
85,82,1,1,1,1,1,1,6,4,5,4,4
86,94,1,1,1,1,1,1,5,4,5,4,3.25
87,46,1,1,1,1,1,1,4,3.5,4.5,3.5,2.25
88,96,1,1,1,1,1,1,5,3,5,4,2.75
89,16.5,0,0,1,1,1,1,0.5,1.5,3.5,2.5,0.5
92,19.5,1,1,1,1,1,1,2.5,2.5,4.5,4,1
93,66,1,1,1,1,1,1,4,4,4.5,4,1.5
96,77.5,1,1,0,1,1,1,4.5,0,5,4,2.25
98,66.5,1,1,1,1,1,1,3.5,4,5,4,3
99,9.5,0,1,1,1,1,1,2,2.5,4,3.5,1.5
100,83,1,1,1,0,1,0,3.5,2,0,4,3
101,18.5,1,1,1,0,1,0,4.5,1.5,0,3.5,0
106,45.5,0,0,1,0,0,0,0,3.5,0,0,0
